Interest,Aliases,vector_id
local governance,LG,interest_1632
logistics management,LM,interest_1633
low coherence microscopy,LCM,interest_1634
low power,LP,interest_1635
low power design,LPD,interest_1636
low power vlsi,LPV,interest_1637
luminescent probes,LP,interest_1638
machine design,MD,interest_1639
machine intelligence,"Artificial Intelligence, MI, Machine Intelligence",interest_1640
machine learning,"Artificial Intelligence, ML, Machine Intelligence, Pattern Recognition, Predictive Modeling, Statistical Learning, Supervised Learning",interest_1641
machine learning and complex network,"Artificial Intelligence, MLCN, Machine Intelligence, Telecommunications, Wireless Systems",interest_1642
machine learning and deep learning,"Artificial Intelligence, MLDL, Machine Intelligence",interest_1643
machine learning and pattern recognition,"Artificial Intelligence, MLPR, Machine Intelligence",interest_1644
machine learning applications,"Artificial Intelligence, MLA, Machine Intelligence",interest_1645
machine learning augmented compact,"Artificial Intelligence, MLAC, Machine Intelligence",interest_1646
machine learning based life time prediction,"Artificial Intelligence, MLBLTP, Machine Intelligence",interest_1647
machine learning for cad,"Artificial Intelligence, MLC, Machine Intelligence",interest_1648
machine learning in process systems,"Artificial Intelligence, MLPS, Machine Intelligence",interest_1649
machine tools vibration and control,"Autonomous Systems, MTVC, Robotics & Automation",interest_1650
machining,"machining Research, machining Technology",interest_1651
machining (conventional & ntm),MCN,interest_1652
macrocyclic synthesis,MS,interest_1653
macroeconomic interactions,MI,interest_1654
macroeconomic theory and policy,MTP,interest_1655
macroeconomics,"macroeconomics Research, macroeconomics Technology",interest_1656
macroeconomics and policies,MP,interest_1657
magnetic materials,"Advanced Materials, MM, Materials Science",interest_1658
magnetic materials and devices,"Advanced Materials, MMD, Materials Science",interest_1659
magnetic nanoparticles,"MN, Nanoscale Science, Nanotechnology",interest_1660
magnetic nanostructures,"MN, Nanoscale Science, Nanotechnology",interest_1661
magnetic refrigeration,MR,interest_1662
magnetism,"magnetism Research, magnetism Technology",interest_1663
magnetism and spintronics,MS,interest_1664
magneto-transport,MT,interest_1665
magneto-transport properties,MTP,interest_1666
magnetoelectrics,"magnetoelectrics Research, magnetoelectrics Technology",interest_1667
magnetofluidics,"magnetofluidics Research, magnetofluidics Technology",interest_1668
magnon spintronics,MS,interest_1669
magnonics,"magnonics Research, magnonics Technology",interest_1670
main group,"Artificial Intelligence, MG, Machine Intelligence",interest_1671
main group chemistry,"Artificial Intelligence, MGC, Machine Intelligence",interest_1672
maintenance,"Artificial Intelligence, Machine Intelligence",interest_1673
maintenance engineering,"Artificial Intelligence, ME, Machine Intelligence",interest_1674
malaria,"malaria Research, malaria Technology",interest_1675
mammalian cell line development,MCLD,interest_1676
management,"management Research, management Technology",interest_1677
manipulation,"manipulation Research, manipulation Technology",interest_1678
manufacturing,"manufacturing Research, manufacturing Technology",interest_1679
manufacturing automation,MA,interest_1680
manufacturing processes,MP,interest_1681
manufacturing science,MS,interest_1682
manuscriptology,"manuscriptology Research, manuscriptology Technology",interest_1683
marine hydrodynamics,MH,interest_1684
market microstructure,MM,interest_1685
marketing,"marketing Research, marketing Technology",interest_1686
marketing  leadership,ML,interest_1687
marketing/branding,MB,interest_1688
mass transfer,MT,interest_1689
material,"Advanced Materials, Materials Science",interest_1690
material chemistry,"Advanced Materials, MC, Materials Science",interest_1691
material forming and joining,"Advanced Materials, MFJ, Materials Science",interest_1692
material physics,"Advanced Materials, MP, Materials Science",interest_1693
material science,"Advanced Materials, MS, Materials Science",interest_1694
material science and engineering,"Advanced Materials, MSE, Materials Science",interest_1695
materials,"Advanced Materials, Materials Science",interest_1696
materials chemistry,"Advanced Materials, MC, Materials Science",interest_1697
materials design,"Advanced Materials, MD, Materials Science",interest_1698
materials discovery,"Advanced Materials, MD, Materials Science",interest_1699
materials engineering,"Advanced Materials, ME, Materials Science",interest_1700
materials for functional liquid wettability,"Advanced Materials, MFLW, Materials Science",interest_1701
materials informatics,"Advanced Materials, MI, Materials Science",interest_1702
materials modeling,"Advanced Materials, MM, Materials Science",interest_1703
materials modelling,"Advanced Materials, MM, Materials Science",interest_1704
materials physics,"Advanced Materials, MP, Materials Science",interest_1705
materials processing,"Advanced Materials, MP, Materials Science",interest_1706
materials science,"Advanced Materials, MS, Materials Science",interest_1707
materials science and engineering,"Advanced Materials, MSE, Materials Science",interest_1708
materials thermodynamics,"Advanced Materials, MT, Materials Science",interest_1709
maternal/fetal health,MFH,interest_1710
mathematical analysis,MA,interest_1711
mathematical biology,"Biomedical Engineering, Biotechnology, MB",interest_1712
mathematical data science,MDS,interest_1713
mathematical ecology,ME,interest_1714
mathematical ecology and epidemiology,MEE,interest_1715
mathematical epidemiology,ME,interest_1716
mathematical logic,ML,interest_1717
mathematical modeling,MM,interest_1718
mathematical optimization,MO,interest_1719
mathematical physics,MP,interest_1720
mathematical simulation,MS,interest_1721
mathematics education,ME,interest_1722
max phase,MP,interest_1723
max phases & composites,MPC,interest_1724
md,"md Research, md Technology",interest_1725
measurement-error,ME,interest_1726
mechanical bahaviour of materials,"Advanced Materials, MBM, Materials Science",interest_1727
mechanical behavior,MB,interest_1728
mechanical behavior of materials,"Advanced Materials, MBM, Materials Science",interest_1729
mechanical behaviour,MB,interest_1730
mechanical behaviour of materials,"Advanced Materials, MBM, Materials Science",interest_1731
mechanical properties,MP,interest_1732
mechanics,"mechanics Research, mechanics Technology",interest_1733
mechanics of deformation and failure in solids,"Artificial Intelligence, MDFS, Machine Intelligence",interest_1734
mechanisms,"mechanisms Research, mechanisms Technology",interest_1735
mechano-electrochemistry,ME,interest_1736
mechanochromism,"mechanochromism Research, mechanochromism Technology",interest_1737
mechatroni,"mechatroni Research, mechatroni Technology",interest_1738
mechatronics,"mechatronics Research, mechatronics Technology",interest_1739
mechinterp,"mechinterp Research, mechinterp Technology",interest_1740
mechnical behavior of materials,"Advanced Materials, MBM, Materials Science",interest_1741
media studies,MS,interest_1742
medical diagnostics,MD,interest_1743
medical image processing,"Image Analysis, MIP, Visual Recognition",interest_1744
medical imaging,MI,interest_1745
medical technologies,MT,interest_1746
medicinal chemistry,MC,interest_1747
medicinal inorganic chemistry,MIC,interest_1748
meg,"meg Research, meg Technology",interest_1749
membrane,"membrane Research, membrane Technology",interest_1750
membrane biogenesis and signalling,"Biomedical Engineering, Biotechnology, MBS",interest_1751
membrane biology,"Biomedical Engineering, Biotechnology, MB",interest_1752
membrane processes,MP,interest_1753
membrane reactors,MR,interest_1754
membrane sc & technology,MST,interest_1755
membrane science and separation,MSS,interest_1756
membrane separation,MS,interest_1757
membrane technology,MT,interest_1758
memories,"memories Research, memories Technology",interest_1759
memory circuits,MC,interest_1760
memory devices,MD,interest_1761
memristo,"memristo Research, memristo Technology",interest_1762
memristor,"memristor Research, memristor Technology",interest_1763
mems,"mems Research, mems Technology",interest_1764
mems /nems,MN,interest_1765
mems and micro-fluidics,MMF,interest_1766
mems-based sensors,MBS,interest_1767
mental health,MH,interest_1768
mercury,"mercury Research, mercury Technology",interest_1769
meshless analysis,MA,interest_1770
mesoionic carbene,MC,interest_1771
metabolic engineering,ME,interest_1772
metabolic modelling,MM,interest_1773
metabolomics,"metabolomics Research, metabolomics Technology",interest_1774
metagenomics,"metagenomics Research, metagenomics Technology",interest_1775
metal additive manufacturing,MAM,interest_1776
metal and ceramic matrix composites,MCMC,interest_1777
metal casting,MC,interest_1778
metal foam,MF,interest_1779
metal foams,MF,interest_1780
metal forming,MF,interest_1781
metal forming and sheet ma,MFSM,interest_1782
metal hydrides,MH,interest_1783
metal matrix composites,MMC,interest_1784
metal oxides,MO,interest_1785
metal recycling,MR,interest_1786
metal-air & metal-ion batteries,"Artificial Intelligence, MAMIB, Machine Intelligence",interest_1787
metal-organic frameworks,MOF,interest_1788
metallaborane,"metallaborane Research, metallaborane Technology",interest_1789
metallic alloys and thin films,MATF,interest_1790
metallic glasses,MG,interest_1791
metallic materials,"Advanced Materials, MM, Materials Science",interest_1792
metallogels,"metallogels Research, metallogels Technology",interest_1793
metallurgical thermodynamics,MT,interest_1794
metallurgy,"metallurgy Research, metallurgy Technology",interest_1795
metals,"metals Research, metals Technology",interest_1796
metamaterial,"Advanced Materials, Materials Science",interest_1797
metamaterials,"Advanced Materials, Materials Science",interest_1798
metamaterials & metasurfaces,"Advanced Materials, MM, Materials Science",interest_1799
metamaterials for mri,"Advanced Materials, MM, Materials Science",interest_1800
metastable and nanostructured alloys,"MNA, Nanoscale Science, Nanotechnology",interest_1801
metastasis,"metastasis Research, metastasis Technology",interest_1802
metasurface,"metasurface Research, metasurface Technology",interest_1803
metasurfaces,"metasurfaces Research, metasurfaces Technology",interest_1804
method of characteristics,MC,interest_1805
metric learning,"Artificial Intelligence, ML, Machine Intelligence",interest_1806
mg and al technologies,MAT,interest_1807
mhd turbulence,MT,interest_1808
micro & nano fludic,"MNF, Nanoscale Science, Nanotechnology",interest_1809
micro 3d printing,M3P,interest_1810
micro and nano manufacturing,"MNM, Nanoscale Science, Nanotechnology",interest_1811
micro manufacturing,MM,interest_1812
micro nano technologies,"MNT, Nanoscale Science, Nanotechnology",interest_1813
micro-irrigation,MI,interest_1814
micro-manufacturing,MM,interest_1815
micro-nanofabrication,"MN, Nanoscale Science, Nanotechnology",interest_1816
micro-robotic systems,"Autonomous Systems, MRS, Robotics & Automation",interest_1817
microalgae,"microalgae Research, microalgae Technology",interest_1818
microbial biotechnology,"Biomedical Engineering, Biotechnology, MB",interest_1819
microbial enzyme production,MEP,interest_1820
microbial f,MF,interest_1821
microbial fuel cell,"Clean Energy, MFC, Renewable Energy Systems",interest_1822
microbial methods for value added products,MMVAP,interest_1823
microbial surfactants,MS,interest_1824
microbial technology,MT,interest_1825
microbiology,"Biomedical Engineering, Biotechnology",interest_1826
microelectronics,"microelectronics Research, microelectronics Technology",interest_1827
microelectronics nanoelectronics,"MN, Nanoscale Science, Nanotechnology",interest_1828
microfabrication,"microfabrication Research, microfabrication Technology",interest_1829
microfluidics,"microfluidics Research, microfluidics Technology",interest_1830
microfluidics and nanofluidics,"MN, Nanoscale Science, Nanotechnology",interest_1831
microfluidics-microrheology,MM,interest_1832
microgrid,"microgrid Research, microgrid Technology",interest_1833
microgrids,"microgrids Research, microgrids Technology",interest_1834
micromachining,"micromachining Research, micromachining Technology",interest_1835
micromanufacturing,"micromanufacturing Research, micromanufacturing Technology",interest_1836
micromechanics,"micromechanics Research, micromechanics Technology",interest_1837
microporous and mesoporous materials,"Advanced Materials, MMM, Materials Science",interest_1838
microscopy,"microscopy Research, microscopy Technology",interest_1839
microstrip antennas,MA,interest_1840
microstructural modeling,MM,interest_1841
microstructure,"microstructure Research, microstructure Technology",interest_1842
microstructure engineering,ME,interest_1843
microsystems,"microsystems Research, microsystems Technology",interest_1844
microwave,"microwave Research, microwave Technology",interest_1845
microwave absorbers,MA,interest_1846
microwave and mm waves technique,MMWT,interest_1847
microwave antenna,MA,interest_1848
microwave antennas,MA,interest_1849
microwave circuits,MC,interest_1850
microwave imaging and remote sensing,MIRS,interest_1851
microwave materials processing,"Advanced Materials, MMP, Materials Science",interest_1852
microwave-thermal transport,MTT,interest_1853
microwaves,"microwaves Research, microwaves Technology",interest_1854
migration studies,MS,interest_1855
millets,"millets Research, millets Technology",interest_1856
mimo,"mimo Research, mimo Technology",interest_1857
mimo antenna,MA,interest_1858
mimo antennas,MA,interest_1859
mimo channels,MC,interest_1860
mineral beneficiation,MB,interest_1861
mineral processing,MP,interest_1862
mining,"mining Research, mining Technology",interest_1863
ml,"ml Research, ml Technology",interest_1864
ml in thermal sciences,MTS,interest_1865
mmc&coating,MC,interest_1866
mobile networks (5g),"MN5, Telecommunications, Wireless Systems",interest_1867
modal logic,ML,interest_1868
model order reduction,MOR,interest_1869
modeling,"modeling Research, modeling Technology",interest_1870
modeling & management of water systems,MMWS,interest_1871
modeling & simulation,MS,interest_1872
modeling and optimization of novel,MON,interest_1873
modeling and simulation of energy systems,"Clean Energy, MSES, Renewable Energy Systems",interest_1874
modelling,"modelling Research, modelling Technology",interest_1875
modelling and optimization,MO,interest_1876
modelling and simulation,MS,interest_1877
modelling and simulation in free surface,MSFS,interest_1878
modelling and simulation of chemical,MSC,interest_1879
modified binders,MB,interest_1880
modular forms,MF,interest_1881
mof,"mof Research, mof Technology",interest_1882
mofs,"mofs Research, mofs Technology",interest_1883
molecular and cellular parasitology,MCP,interest_1884
molecular and nanoscale materials,"Advanced Materials, MNM, Materials Science, Nanoscale Science, Nanotechnology",interest_1885
molecular biology,"Biomedical Engineering, Biotechnology, MB",interest_1886
molecular biophysics,"Biomedical Engineering, Biotechnology, MB",interest_1887
molecular cages,MC,interest_1888
molecular cell and cancer biology,"Biomedical Engineering, Biotechnology, MCCB",interest_1889
molecular communica,MC,interest_1890
molecular docking,MD,interest_1891
molecular dynamics,MD,interest_1892
molecular electronics,ME,interest_1893
molecular epigenetics,ME,interest_1894
molecular immunology,MI,interest_1895
molecular machines,MM,interest_1896
molecular magnetism,MM,interest_1897
molecular microbiology,"Biomedical Engineering, Biotechnology, MM",interest_1898
molecular motors,MM,interest_1899
molecular pathology of cancers,MPC,interest_1900
molecular self-assembly,MSA,interest_1901
molecular simulation,MS,interest_1902
molecular simulations,MS,interest_1903
molecular spectroscopy,MS,interest_1904
molecular structural biology,"Biomedical Engineering, Biotechnology, MSB",interest_1905
molecular virology,MV,interest_1906
monsoon,"monsoon Research, monsoon Technology",interest_1907
monte-carlo simulations,MCS,interest_1908
morphogenesis,"morphogenesis Research, morphogenesis Technology",interest_1909
mos2,"mos2 Research, mos2 Technology",interest_1910
mosfets and ofets and photovoltaics,"Artificial Intelligence, MOP, Machine Intelligence",interest_1911
motion planning in 3d,MP3,interest_1912
motor current,MC,interest_1913
motor drives,MD,interest_1914
moving boundary problems,MBP,interest_1915
moving load analysis,MLA,interest_1916
msk disorders,MD,interest_1917
multi-armed bandits,MAB,interest_1918
multi-group multicasting,MGM,interest_1919
multi-messenger astronomy,MMA,interest_1920
multi-omics,MO,interest_1921
multi-phase,MP,interest_1922
multi-physics problems,MPP,interest_1923
multi-scale,MS,interest_1924
multi-scale modelling,MSM,interest_1925
multi-wavelength astronomy,MWA,interest_1926
multicomponent alloys,MA,interest_1927
multicomponent reaction,MR,interest_1928
multicomponent reactions,MR,interest_1929
multiferroic,"multiferroic Research, multiferroic Technology",interest_1930
multiferroics,"multiferroics Research, multiferroics Technology",interest_1931
multiferroics and micromagnetics,MM,interest_1932
multiferroics and strongly correlated systems,MSCS,interest_1933
multifunctional composites,MC,interest_1934
multifunctional oxides and devices,MOD,interest_1935
multiheme proteins and enzymes,MPE,interest_1936
multilevel pwm inverters,MPI,interest_1937
multimedia signal processing,MSP,interest_1938
multinuclear complexes,MC,interest_1939
multiobjective optimization,MO,interest_1940
multiphase flow,MF,interest_1941
multiphase flow in microsystems,MFM,interest_1942
multiphase flows,MF,interest_1943
multiphase machines,MM,interest_1944
multiphysics problems,MP,interest_1945
multiscale,"multiscale Research, multiscale Technology",interest_1946
multiscale modeling,MM,interest_1947
multiscale modelling,MM,interest_1948
multivariate and deep learning,"Artificial Intelligence, MDL, Machine Intelligence",interest_1949
municipal solid waste,MSW,interest_1950
music processing,MP,interest_1951
n-heterocyclic carbene catalysis,NHCC,interest_1952
na ion batteries,NIB,interest_1953
na-ion battery,"Clean Energy, NIB, Renewable Energy Systems",interest_1954
nano & energy materials lab,"Advanced Materials, Clean Energy, Materials Science, NEML, Nanoscale Science, Nanotechnology, Renewable Energy Systems",interest_1955
nano and micro indentation,"NMI, Nanoscale Science, Nanotechnology",interest_1956
nano and micro structuring,"NMS, Nanoscale Science, Nanotechnology",interest_1957
nano heterostructures,"NH, Nanoscale Science, Nanotechnology",interest_1958
nano material,"Advanced Materials, Materials Science, NM, Nanoscale Science, Nanotechnology",interest_1959
nano materials,"Advanced Materials, Materials Science, NM, Nanoscale Science, Nanotechnology",interest_1960
nano science,"NS, Nanoscale Science, Nanotechnology",interest_1961
nano technology,"NT, Nanoscale Science, Nanotechnology",interest_1962
nano-hetero-architectures,"NHA, Nanoscale Science, Nanotechnology",interest_1963
nano-materials,"Advanced Materials, Materials Science, NM, Nanoscale Science, Nanotechnology",interest_1964
nano-mechanics,"NM, Nanoscale Science, Nanotechnology",interest_1965
nano/micro machining,"NMM, Nanoscale Science, Nanotechnology",interest_1966
nano/microelectronics,"NM, Nanoscale Science, Nanotechnology",interest_1967
nanobiology,"Biomedical Engineering, Biotechnology, Nanoscale Science, Nanotechnology",interest_1968
nanobiosensing,"Biomedical Engineering, Biotechnology, Nanoscale Science, Nanotechnology",interest_1969
nanobiosensors,"Biomedical Engineering, Biotechnology, Nanoscale Science, Nanotechnology",interest_1970
nanobiotechnology,"Biomedical Engineering, Biotechnology, Nanoscale Science, Nanotechnology",interest_1971
nanocarbons (graphene,"NG, Nanoscale Science, Nanotechnology",interest_1972
nanocellulose,"Nanoscale Science, Nanotechnology",interest_1973
nanoceramics,"Nanoscale Science, Nanotechnology",interest_1974
nanochemistry,"Nanoscale Science, Nanotechnology",interest_1975
nanoclusters,"Nanoscale Science, Nanotechnology",interest_1976
nanocomposite,"Nanoscale Science, Nanotechnology",interest_1977
nanocomposites,"Nanoscale Science, Nanotechnology",interest_1978
nanocrystalline materials,"Advanced Materials, Materials Science, NM, Nanoscale Science, Nanotechnology",interest_1979
nanocrystals,"Nanoscale Science, Nanotechnology",interest_1980
nanoemulsionsroc,"Nanoscale Science, Nanotechnology",interest_1981
nanofabrication,"Nanoscale Science, Nanotechnology",interest_1982
nanoferroelectrics,"Nanoscale Science, Nanotechnology",interest_1983
nanofibers physics education electronics,"NPEE, Nanoscale Science, Nanotechnology",interest_1984
nanofinishing,"Nanoscale Science, Nanotechnology",interest_1985
nanofluids,"Nanoscale Science, Nanotechnology",interest_1986
nanoindentation,"Nanoscale Science, Nanotechnology",interest_1987
nanomagnetic devices,"ND, Nanoscale Science, Nanotechnology",interest_1988
nanomagnetic materials,"Advanced Materials, Materials Science, NM, Nanoscale Science, Nanotechnology",interest_1989
nanomagnetism,"Nanoscale Science, Nanotechnology",interest_1990
nanomaterials,"Advanced Materials, Materials Science, Nanoscale Science, Nanotechnology",interest_1991
nanomaterials for electronic and energy and,"Advanced Materials, Clean Energy, Materials Science, NEE, Nanoscale Science, Nanotechnology, Renewable Energy Systems",interest_1992
nanomechanics,"Nanoscale Science, Nanotechnology",interest_1993
nanomedicine,"Nanoscale Science, Nanotechnology",interest_1994
nanomedicine & theranostics,"NT, Nanoscale Science, Nanotechnology",interest_1995
nanoparticles,"Nanoscale Science, Nanotechnology",interest_1996
nanopatterning,"Nanoscale Science, Nanotechnology",interest_1997
nanophotonics,"Nanoscale Science, Nanotechnology",interest_1998
nanopores,"Nanoscale Science, Nanotechnology",interest_1999
nanoporous materials,"Advanced Materials, Materials Science, NM, Nanoscale Science, Nanotechnology",interest_2000
nanoscale device design and modeling,"NDDM, Nanoscale Science, Nanotechnology",interest_2001
nanoscale device modelling,"NDM, Nanoscale Science, Nanotechnology",interest_2002
nanoscale magnetic imaging,"NMI, Nanoscale Science, Nanotechnology",interest_2003
nanoscale objects and phenomena,"NOP, Nanoscale Science, Nanotechnology",interest_2004
nanoscale physics,"NP, Nanoscale Science, Nanotechnology",interest_2005
nanoscale science,"NS, Nanoscale Science, Nanotechnology",interest_2006
nanoscience,"Nanoscale Science, Nanotechnology",interest_2007
nanoscience and nanotechnology,"NN, Nanoscale Science, Nanotechnology",interest_2008
nanostructured biomaterials,"Advanced Materials, Biomedical Engineering, Biotechnology, Materials Science, NB, Nanoscale Science, Nanotechnology",interest_2009
nanostructured materials,"Advanced Materials, Materials Science, NM, Nanoscale Science, Nanotechnology",interest_2010
nanostructures,"Nanoscale Science, Nanotechnology",interest_2011
nanotechnology,"Nanoscale Science, Nanotechnology",interest_2012
naomaterials,"Advanced Materials, Materials Science",interest_2013
natural and mixed convection flows,NMCF,interest_2014
natural dyes,ND,interest_2015
natural fiber reinforced composites,NFRC,interest_2016
natural gas engineering,NGE,interest_2017
natural language processing,NLP,interest_2018
natural language progrssing,NLP,interest_2019
natural language technology,NLT,interest_2020
natural molecules,NM,interest_2021
natural resources management,NRM,interest_2022
nature based solution,NBS,interest_2023
nature inspired optimization techniques,NIOT,interest_2024
nature-based solutions (nbs),NBSN,interest_2025
navigation and control,"Autonomous Systems, NC, Robotics & Automation",interest_2026
ncds,"ncds Research, ncds Technology",interest_2027
nde,"nde Research, nde Technology",interest_2028
ndt,"ndt Research, ndt Technology",interest_2029
negative-imaginary systems,NIS,interest_2030
network analysis,"NA, Telecommunications, Wireless Systems",interest_2031
network economics,"NE, Telecommunications, Wireless Systems",interest_2032
network information theory,"NIT, Telecommunications, Wireless Systems",interest_2033
network science,"NS, Telecommunications, Wireless Systems",interest_2034
network security,"NS, Telecommunications, Wireless Systems",interest_2035
network security using ai/ml,"Artificial Intelligence, Machine Intelligence, NSUAM, Telecommunications, Wireless Systems",interest_2036
networking,"Telecommunications, Wireless Systems",interest_2037
neural / retinal prosthesis,NRP,interest_2038
neural networks,"NN, Telecommunications, Wireless Systems",interest_2039
neuro-oncology,NO,interest_2040
neurodegeneration,"neurodegeneration Research, neurodegeneration Technology",interest_2041
neurodegenrative diseases,ND,interest_2042
neuroimaging,"neuroimaging Research, neuroimaging Technology",interest_2043
neuroinflammation,"neuroinflammation Research, neuroinflammation Technology",interest_2044
neuromorphic computing,NC,interest_2045
neuronal signal processing,NSP,interest_2046
neuropsychology,"neuropsychology Research, neuropsychology Technology",interest_2047
neurorehabilitati,"neurorehabilitati Research, neurorehabilitati Technology",interest_2048
neuroscience,"neuroscience Research, neuroscience Technology",interest_2049
neutrino physics,NP,interest_2050
neutron star,NS,interest_2051
new product and process development,NPPD,interest_2052
new technologies,NT,interest_2053
nir imaging,NI,interest_2054
nir-quantum dots,NQD,interest_2055
nlp,"nlp Research, nlp Technology",interest_2056
nmr spectroscopy,NS,interest_2057
noc,"noc Research, noc Technology",interest_2058
noise,"noise Research, noise Technology",interest_2059
noise and vibration,NV,interest_2060
non linear dynamics,NLD,interest_2061
non linear vibration,NLV,interest_2062
non local elasticity,NLE,interest_2063
non traditional machining,NTM,interest_2064
non volatile memories,NVM,interest_2065
non-coding rnas,NCR,interest_2066
non-conventional manufacturing,NCM,interest_2067
non-destructive evaluation,NDE,interest_2068
non-equilibrium quantum statistical physics,NEQSP,interest_2069
non-invasive biomarkers and sensors,"Biomedical Engineering, Biotechnology, NIBS",interest_2070
non-linear optics,NLO,interest_2071
non-newtonian fluid flow and heat transfer,NNFFHT,interest_2072
non-newtonian fluids,NNF,interest_2073
non-precious metal catalysis,NPMC,interest_2074
non-stationarity,NS,interest_2075
non-traditional manufacturing,NTM,interest_2076
non-volatile memory,NVM,interest_2077
nonequlibrium processing,NP,interest_2078
nonlinear analysis,,interest_2079
nonlinear computational mechanics,NCM,interest_2080
nonlinear dynamics,ND,interest_2081
nonlinear dynamics & vibrations,NDV,interest_2082
nonlinear optics,NO,interest_2083
nonlinear solid mechanics,NSM,interest_2084
nonlinear spectroscopy,NS,interest_2085
nonlinear vibrations,NV,interest_2086
nonlocal elasticity,NE,interest_2087
non‑contact sensing,NCS,interest_2088
normative ethics,NE,interest_2089
novel antibacterial drug discovery and,NADD,interest_2090
novel materials for magnetism and energy,"Advanced Materials, Clean Energy, Materials Science, NMME, Renewable Energy Systems",interest_2091
novel semiconductors,NS,interest_2092
nrr-her-co2rr catalysts,NHCC,interest_2093
nuclear chemistry,NC,interest_2094
nuclear data,ND,interest_2095
nuclear engineering,NE,interest_2096
nuclear physics,NP,interest_2097
nuclear reaction,NR,interest_2098
nuclear reactor thermal hydraulics,NRTH,interest_2099
nuclear safety,NS,interest_2100
nuclear thermalhydraulics,NT,interest_2101
number theory,NT,interest_2102
numerical analysis,,interest_2103
numerical and mathematical methods,NMM,interest_2104
numerical linear algebra,NLA,interest_2105
numerical methods for pdes,NMP,interest_2106
numerical modeling,NM,interest_2107
numerical modelling in geotechnics,NMG,interest_2108
numerical optimization,NO,interest_2109
numerical schemes for singular perturbation,NSSP,interest_2110
numerical simulation,NS,interest_2111
numerical/digital relays,NDR,interest_2112
nutraceuticals,"nutraceuticals Research, nutraceuticals Technology",interest_2113
nutrient recycling,NR,interest_2114
nv-centres in diamond,NCD,interest_2115
oam,"oam Research, oam Technology",interest_2116
ob,"ob Research, ob Technology",interest_2117
ocean engineering,OE,interest_2118
ocean optics and imaging,OOI,interest_2119
oceanography,"oceanography Research, oceanography Technology",interest_2120
ods alloys,OA,interest_2121
off-road vehicle traction mechanics,ORVTM,interest_2122
offshore structures,OS,interest_2123
oleds,"oleds Research, oleds Technology",interest_2124
olfaction,"olfaction Research, olfaction Technology",interest_2125
oncology,"oncology Research, oncology Technology",interest_2126
online learning,"Artificial Intelligence, Machine Intelligence, OL",interest_2127
open channel flow,OCF,interest_2128
opensource software,OS,interest_2129
operational inflow forecasting,OIF,interest_2130
operational research,OR,interest_2131
operations research,OR,interest_2132
optical coherence,OC,interest_2133
optical communictions,OC,interest_2134
optical imaging,OI,interest_2135
optical interconnects,OI,interest_2136
optical measurements,OM,interest_2137
optical networks,"ON, Telecommunications, Wireless Systems",interest_2138
optical properties,OP,interest_2139
optical spectroscopy,OS,interest_2140
optics,"optics Research, optics Technology",interest_2141
optics-photonics,OP,interest_2142
optimal control theory,"Autonomous Systems, OCT, Robotics & Automation",interest_2143
optimization,"optimization Research, optimization Technology",interest_2144
optimization modelling,OM,interest_2145
optimization of composite structures,OCS,interest_2146
optimization of thermal systems,OTS,interest_2147
optimization theory,OT,interest_2148
opto-electronics,OE,interest_2149
opto-mechatronics system design,OMSD,interest_2150
optoelectronic devices,OD,interest_2151
optoelectronics,"optoelectronics Research, optoelectronics Technology",interest_2152
optogenetics,"optogenetics Research, optogenetics Technology",interest_2153
optomechatronics,"optomechatronics Research, optomechatronics Technology",interest_2154
orbital free density functional theory,OFDFT,interest_2155
organ-on-a-chip,OOAC,interest_2156
organic,"organic Research, organic Technology",interest_2157
organic aerosols,OA,interest_2158
organic and flexible electronics,OFE,interest_2159
organic chemistry,OC,interest_2160
organic chemistry synthesis,OCS,interest_2161
organic electronics,OE,interest_2162
organic farming,OF,interest_2163
organic fluorophores,OF,interest_2164
organic functional material,"Advanced Materials, Materials Science, OFM",interest_2165
organic light-emitting diod,OLED,interest_2166
organic materials chemistry,"Advanced Materials, Materials Science, OMC",interest_2167
organic materials for electronic applications,"Advanced Materials, Materials Science, OMEA",interest_2168
organic optoelectronics,OO,interest_2169
organic photochemistry and supramolecular,OPS,interest_2170
organic semiconductors,OS,interest_2171
organic solar cells,"Clean Energy, OSC, Renewable Energy Systems",interest_2172
organic synthesis,OS,interest_2173
organic synthesis & catalysis,OSC,interest_2174
organisational behaviour,OB,interest_2175
organisational psychology,OP,interest_2176
organizational behavior,OB,interest_2177
organizational behaviour,OB,interest_2178
organizations,"organizations Research, organizations Technology",interest_2179
organometallic chemistry,OC,interest_2180
organometallic chemistry & catalysis,OCC,interest_2181
organometallic chemistry and catalysis,OCC,interest_2182
organometallics,"organometallics Research, organometallics Technology",interest_2183
organometallics and nanoparticle based,"Nanoscale Science, Nanotechnology, ONB",interest_2184
organomettalics and catalysis,OC,interest_2185
organotin chemistry,OC,interest_2186
orthopaedic biomaterial,"Advanced Materials, Biomedical Engineering, Biotechnology, Materials Science, OB",interest_2187
overlaid multicasting,"Artificial Intelligence, Machine Intelligence, OM",interest_2188
oxide multiferroics,OM,interest_2189
oxide semiconductors,OS,interest_2190
oxides,"oxides Research, oxides Technology",interest_2191
p2p networks,"PN, Telecommunications, Wireless Systems",interest_2192
p4,"p4 Research, p4 Technology",interest_2193
packaging,"packaging Research, packaging Technology",interest_2194
packaging technology,PT,interest_2195
paleo-tsunami,PT,interest_2196
